"Berzsenyi-Daniel_level-4" "Berzsenyi-Daniel_level-5" "Dobrentei-Gabor_level-4" "Dobrentei-Gabor_level-5" "Kazinczy-Ferenc_level-4" "Kazinczy-Ferenc_level-5" "Marton-Jozsef_level-4" "Marton-Jozsef_level-5" "Raday-I-Gedeon_level-4" "Raday-I-Gedeon_level-5" "Raday-II-Gedeon_level-4" "Raday-II-Gedeon_level-5" "Szentmiklossy-Alajos_level-4" "Szentmiklossy-Alajos_level-5" "Szentpeteri-Erzsebet_level-4" "Szentpeteri-Erzsebet_level-5" "Szentpeteri-Judit_level-4" "Szentpeteri-Judit_level-5" "Szentpeteri-Katalin_level-4" "Szentpeteri-Katalin_level-5"
"t„" 0.819672131147541 0.87719298245614 0.435594275046671 0.510725229826353 1.50753768844221 0.593471810089021 1.76056338028169 0 0 0 0 0 0.684931506849315 1.06951871657754 0.884955752212389 0.33167495854063 0 0 0 0
"v„" 0.819672131147541 0 0.622277535780958 1.32788559754852 1.50753768844221 1.87932739861523 0 0 0 0.24330900243309 0 0 0.684931506849315 0.71301247771836 0 0 0 0 0 0
"k" 2.45901639344262 0.43859649122807 0.622277535780958 0.408580183861083 0 0.29673590504451 0.704225352112676 1 0 1.94647201946472 0 0 0.684931506849315 1.06951871657754 0.442477876106195 0 0 0 1.28205128205128 0.709219858156028
"g" 0 0.87719298245614 0.871188550093342 0.408580183861083 0 0.29673590504451 1.40845070422535 1 0 0.24330900243309 0.366300366300366 0 0.684931506849315 1.06951871657754 0 0 0 0 0 0
"de" 0 0.87719298245614 0.497822028624767 0.510725229826353 0.50251256281407 0.0989119683481701 0.704225352112676 0 0 0.24330900243309 0.366300366300366 0 2.05479452054795 0.53475935828877 0.442477876106195 0.497512437810945 0 0.798403193612774 0 0
"m" 3.27868852459016 3.07017543859649 0.248911014312383 0.919305413687436 1.00502512562814 0.395647873392681 0.352112676056338 2 0 0.48661800486618 0 0 0 0.35650623885918 0 0 0.66006600660066 0 1.28205128205128 0.354609929078014
"n„" 1.63934426229508 0.87719298245614 0.311138767890479 0.919305413687436 0.50251256281407 0.395647873392681 0.704225352112676 0 0 1.70316301703163 0 0 0.684931506849315 0.53475935828877 0 0 0 0 0 0
"el" 1.63934426229508 0.43859649122807 0.435594275046671 0 1.00502512562814 1.28585558852621 0 0 1.49253731343284 0.24330900243309 2.1978021978022 0.980392156862745 0 0.17825311942959 0.884955752212389 1.32669983416252 0.99009900990099 0.399201596806387 0 0.709219858156028
"sz„" 0 0.43859649122807 0.74673304293715 0.510725229826353 0 0.593471810089021 0.704225352112676 0 0 0.24330900243309 0 0 0.684931506849315 0.71301247771836 0 0.33167495854063 0.33003300330033 0 0 0
"ha" 0 0.87719298245614 0.560049782202863 0.612870275791624 0 0.395647873392681 0.704225352112676 0 0 0 1.46520146520147 0.980392156862745 0.684931506849315 0.71301247771836 0 1.82421227197347 0.99009900990099 0.199600798403194 0 0.709219858156028
"r„" 0 0 0.311138767890479 1.12359550561798 0.50251256281407 0.395647873392681 0.704225352112676 1 0 0 0 0 0.684931506849315 1.06951871657754 0.442477876106195 0.165837479270315 0 0 0 0
"l„" 1.63934426229508 0.43859649122807 1.18232731798382 0.612870275791624 0.50251256281407 0.791295746785361 0 1 1.49253731343284 0.48661800486618 0 0 0 0.53475935828877 0 0 0 0 1.28205128205128 0
"b„" 2.45901639344262 3.07017543859649 0.622277535780958 0.612870275791624 0 0.890207715133531 0 0 0 0.24330900243309 1.83150183150183 1.96078431372549 2.05479452054795 0.53475935828877 0 0 0 0 0 0
"edes" 0 0 0 0 0 0 0 0 0 0.24330900243309 0 0 0 0 3.53982300884956 1.16086235489221 2.97029702970297 3.39321357285429 0 0.354609929078014
