"Balassi-Balint_A-Szentharomsagnak-eslo.txt-jav" "Balassi-Balint_A-Szentharomsagnak-harmadik.txt-jav" "Balassi-Balint_A-Szentharomsagnak-kinek.txt-jav" "Balassi-Balint_A-te-nagy-nevedert.txt-jav" "Balassi-Balint_A-Zsuzsanna-egy-szep-nemet.txt-jav" "Balassi-Balint_Adj-mar-csendesseget.txt-jav" "Balassi-Balint_Aldj-meg-minket.txt-jav" "Balassi-Balint_Aldott-Julia.txt-jav" "Balassi-Balint_Aldott-szep-punkosdnek.txt-jav" "Balassi-Balint_Amely-keresztyen.txt-jav" "Balassi-Balint_Az-en-jo-Istenem.txt-jav" "Balassi-Balint_Az-en-szerelmesem.txt-jav" "Balassi-Balint_Beteges-lelkem.txt-jav" "Balassi-Balint_Bezzeg-nagy-bolondsag.txt-jav" "Balassi-Balint_Bizonnyal-ismerem-rajtam-most-erejet.txt-jav" "Balassi-Balint_Bizonnyal-ismerem-rajtam-nagy-haragod.txt-jav" "Balassi-Balint_Bocsasd-meg-Uristen-1.txt-jav" "Balassi-Balint_Bocsasd-meg-Uristen-2.txt-jav" "Balassi-Balint_Cupido-szivemben.txt-jav" "Balassi-Balint_Csak-bubanat-immar.txt-jav" "Balassi-Balint_Csodalvan-egy-furdot.txt-jav" "Balassi-Balint_Csokolvan-e-minap.txt-jav" "Gergei-Albert_Argirus-historiaja-1.txt-jav" "Gergei-Albert_Argirus-historiaja-2.txt-jav" "Gergei-Albert_Argirus-historiaja-3.txt-jav" "Toth-Istvan_Diarium-1.txt-jav" "Toth-Istvan_Diarium-10.txt-jav" "Toth-Istvan_Diarium-11.txt-jav" "Toth-Istvan_Diarium-12.txt-jav" "Toth-Istvan_Diarium-2.txt-jav" "Toth-Istvan_Diarium-3.txt-jav" "Toth-Istvan_Diarium-4.txt-jav" "Toth-Istvan_Diarium-5.txt-jav" "Toth-Istvan_Diarium-6.txt-jav" "Toth-Istvan_Diarium-7.txt-jav" "Toth-Istvan_Diarium-8.txt-jav" "Toth-Istvan_Diarium-9.txt-jav" "Zrinyi-Miklos_Arianna-sirasa.txt-jav" "Zrinyi-Miklos_Fantasia-poetica.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-1.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-10.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-11.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-12.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-13.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-14.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-15.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-2.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-3.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-4.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-5.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-6.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-7.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-8.txt-jav" "Zrinyi-Miklos_Obsidionis-Szigethianc-9.txt-jav" "Zrinyi-Miklos_Orfeus-es-Euridice.txt-jav"
"meg" 0.29673590504451 1.49253731343284 0.266666666666667 1.04166666666667 0.313479623824451 1.58730158730159 3.94736842105263 0.43010752688172 0.431034482758621 0 0.426439232409382 0 0.280898876404494 0.413223140495868 0.89126559714795 1.23076923076923 0.19723865877712 0.413223140495868 0 0.602409638554217 0.510204081632653 0.625 0.397393101255762 0.298507462686567 0.134770889487871 0.736919675755343 0.876424189307625 0.612918434700613 0.76103500761035 0.709812108559499 0.633102200783841 0.68259385665529 0.408905043162199 0.861836789657959 0.841423948220065 0.526085050416484 0.723798494499131 1.08780108780109 1.26429861529199 1.40567894292943 0.848073661255149 1.55059847660501 1.14503816793893 0.846336947897382 1.11321648507816 1.28300024673082 1.49435803598658 1.49882903981265 1.23424369747899 1.2292738707833 1.49358226371062 1.72244094488189 1.08843537414966 0.815217391304348 1.49122807017544
"k„" 1.18694362017804 1.99004975124378 1.33333333333333 1.04166666666667 0.313479623824451 1.58730158730159 1.31578947368421 1.29032258064516 0.431034482758621 1.80722891566265 1.70575692963753 1.23076923076923 2.24719101123596 1.65289256198347 1.60427807486631 1.53846153846154 2.36686390532544 2.27272727272727 1.43884892086331 1.05421686746988 1.53061224489796 2.1875 1.16038785566683 1.26865671641791 0.943396226415094 0.994841562269713 1.25620800467426 1.17868929750118 0.799086757990868 0.751565762004175 0.874283991558637 0.955631399317406 1.04497955474784 1.02343118771883 1.16504854368932 0.920648838228847 1.3317892298784 0.466200466200466 0.481637567730283 0.534157998313185 0.87230433729101 1.22415669205658 0.906488549618321 1.08436921449352 0.805305542396968 0.616827041697508 0.884415980481854 0.53864168618267 0.761554621848739 0.743281875357347 0.653442240373396 0.713582677165354 0.925170068027211 0.923913043478261 0.87719298245614
"l„" 0.593471810089021 0.497512437810945 0.533333333333333 1.5625 0.940438871473354 0.529100529100529 0.657894736842105 1.29032258064516 0.862068965517241 1.20481927710843 0 1.23076923076923 0.561797752808989 1.65289256198347 0.89126559714795 0.923076923076923 0.986193293885602 0.826446280991736 0.959232613908873 1.35542168674699 0 2.8125 1.00143061516452 1.26865671641791 1.48247978436658 1.2343404568902 0.613496932515337 0.66006600660066 0.91324200913242 0.835073068893528 1.14561350618028 1.09215017064846 0.908677873693776 0.754107190950714 0.809061488673139 1.00832967996493 0.60799073537927 0.932400932400932 1.38470800722456 0.843407365757661 0.896535013326872 0.843307943416757 0.954198473282443 0.687648770166623 0.923732828043581 0.863557858376511 0.518450747179018 0.913348946135831 0.919117647058823 0.686106346483705 0.816802800466744 0.762795275590551 0.707482993197279 0.706521739130435 0.789473684210526
"m„" 0.593471810089021 0 1.33333333333333 0.520833333333333 2.19435736677116 0.529100529100529 0.657894736842105 1.72043010752688 1.29310344827586 0 1.06609808102345 1.53846153846154 0.280898876404494 1.2396694214876 1.06951871657754 0.615384615384615 0.788954635108481 0.619834710743802 0.959232613908873 1.05421686746988 0.510204081632653 0.9375 0.508663169607376 0.970149253731343 1.48247978436658 1.0132645541636 0.876424189307625 1.03724658180104 0.91324200913242 1.50313152400835 0.934579439252336 1.77474402730375 1.2267151294866 1.05036358739564 0.744336569579288 0.657606313020605 0.868558193398958 0.543900543900544 1.14388922335942 0.42170368287883 0.944996365398595 0.652883569096844 0.715648854961832 0.766992859032002 0.805305542396968 0.666173205033309 0.548947849954254 0.772833723653396 0.472689075630252 0.457404230989137 0.816802800466744 0.639763779527559 0.653061224489796 0.78804347826087 1.14035087719298
"kÂ" 0 0 0 0 0 0 0 0 0 0 0.213219616204691 0 0 0 0 0 0 0 0 0 0 0 0.0794786202511524 0.0746268656716418 0 0.976418570375829 0.81799591002045 1.08439415370108 0.60882800608828 0.668058455114823 0.904431715405487 1.02389078498294 0.318037255792821 0.942633988688392 0.776699029126214 0.920648838228847 1.10017371163868 1.16550116550117 0.722456351595424 1.01208883890919 1.0661497455779 0.897714907508161 0.954198473282443 0.661200740544829 1.18427285646613 1.20898100172712 1.21988411100945 0.749414519906323 0.892857142857143 0.628930817610063 1.37689614935823 0.762795275590551 0.680272108843537 1.0054347826087 0.526315789473684
"tÂ" 0.593471810089021 0.497512437810945 0 0 0 0 0.657894736842105 0.860215053763441 0.431034482758621 0.602409638554217 0.639658848614073 0.615384615384615 0 0 0.89126559714795 0.923076923076923 0.591715976331361 0.826446280991736 0.719424460431655 0.451807228915663 0 0.625 0.397393101255762 0.149253731343284 0.134770889487871 0.700073691967576 0.379783815366637 0.754361150400754 0.45662100456621 0.668058455114823 0.542659029243292 0.546075085324232 0.681508405270332 0.484783194182602 0.550161812297735 0.526085050416484 0.579038795599305 0.388500388500388 0.662251655629139 0.843407365757661 1.42960988611582 1.08813928182807 0.739503816793893 1.11081724411531 0.971103742302226 0.838884776708611 1.06739859713327 0.936768149882904 0.997899159663866 1.02915951972556 1.44690781796966 1.37795275590551 0.653061224489796 0.978260869565217 0.701754385964912
"v„" 0.890207715133531 0.497512437810945 1.33333333333333 0.520833333333333 1.56739811912226 3.17460317460317 0 0.860215053763441 2.1551724137931 3.6144578313253 0.852878464818763 1.84615384615385 1.12359550561798 0.413223140495868 1.24777183600713 0.923076923076923 0.788954635108481 1.2396694214876 1.19904076738609 1.05421686746988 1.02040816326531 0.9375 0.953743443013829 1.04477611940298 2.02156334231806 1.36330140014738 1.43149284253579 1.79160773220179 1.71232876712329 1.46137787056367 0.994874886946036 1.39931740614334 1.18128123580191 1.4543495825478 1.42394822006472 1.13985094256905 1.10017371163868 0 0.120409391932571 0.168681473151532 0.363460140537921 0.190424374319913 0.0715648854961832 0.132240148108966 0.0236854571293226 0.222057735011103 0.3354681305276 0.187353629976581 0.236344537815126 0.428816466552316 0.303383897316219 0.147637795275591 0.244897959183673 0.16304347826087 0
"r" 0.29673590504451 0.497512437810945 0.266666666666667 0.520833333333333 0.313479623824451 1.58730158730159 0.657894736842105 0.645161290322581 0.431034482758621 0.602409638554217 0.426439232409382 0.307692307692308 0 0.826446280991736 1.06951871657754 0 0.788954635108481 0.826446280991736 1.43884892086331 0.602409638554217 0.510204081632653 0.625 0.604037513908759 0.82089552238806 1.21293800539084 0.478997789240973 0.671925211802512 0.471475719000471 0.837138508371385 0.334029227557411 0.69339764847754 0.784982935153584 0.72694229895502 0.67330999192028 0.485436893203884 0.569925471284524 0.463231036479444 0.466200466200466 0.963275135460566 0.534157998313185 0.848073661255149 0.680087051142546 0.834923664122137 0.714096799788416 0.402652771198484 0.76486553170491 1.06739859713327 0.889929742388759 0.603991596638655 0.628930817610063 1.00350058343057 0.78740157480315 0.925170068027211 0.679347826086957 0.350877192982456
"rÂ" 0 0 0 0 0.313479623824451 0 0.657894736842105 0 0.431034482758621 0 0 0 0.280898876404494 0 0.17825311942959 0 0.19723865877712 0.206611570247934 0.479616306954436 0.301204819277108 1.53061224489796 0.3125 0.127165792401844 0 0.134770889487871 0.294767870302137 0.408997955010225 0.565770862800566 0.228310502283105 0.876826722338205 0.331624962315345 0.409556313993174 0.318037255792821 0.323188796121734 0.420711974110032 0.306882946076282 0.463231036479444 1.01010101010101 0.240818783865141 0.618498734888951 1.25999515386479 0.73449401523395 0.834923664122137 1.08436921449352 1.23164377072477 1.15963483839132 1.12839280268375 0.913348946135831 0.78781512605042 0.886220697541452 1.1901983663944 1.42716535433071 0.653061224489796 1.03260869565217 0.614035087719298
"el" 0.29673590504451 0.497512437810945 0.533333333333333 0.520833333333333 0 0 0.657894736842105 0.21505376344086 0 0 0.213219616204691 0.307692307692308 0.280898876404494 0 0.53475935828877 0.307692307692308 0.394477317554241 0.413223140495868 0 0.602409638554217 0 0.3125 0.206644412652996 0.373134328358209 0 0.534266764922623 0.788781770376862 0.141442715700141 0.646879756468798 0.751565762004175 0.66324992463069 0.546075085324232 0.817810086324398 0.834904389981147 0.938511326860841 0.745287154756686 0.694846554719166 1.3986013986014 0.722456351595424 0.618498734888951 0.581536224860674 0.326441784548422 0.572519083969466 1.24305739222428 0.781620085267646 0.592153960029608 0.640439158279963 0.725995316159251 0.525210084033613 0.886220697541452 0.840140023337223 0.959645669291339 0.870748299319728 0.78804347826087 1.05263157894737
